7.55,3.2
8.78,3.2
5.78,2.0
6.13,2.0
6.99,2.8
8.49,4.0
5.29,2.0
7.40,2.0
9.57,4.0
9.33,4.0
7.27,2.0
5.72,2.0
7.06,2.4
8.78,3.2
6.14,2.0
6.79,3.2
6.52,2.0
7.41,3.2
8.14,2.8
6.37,1.6
8.33,2.8
8.79,4.0
5.59,1.2
7.70,2.4
7.36,3.2
6.33,2.0
6.13,2.4
7.89,3.2
5.73,1.6
7.93,3.2
6.65,2.8
8.69,3.6
6.98,2.4
4.76,1.2
8.56,3.2
5.62,2.0
8.25,3.2
8.60,3.2
8.12,2.4
7.39,2.8
9.71,4.0
5.89,1.2
9.17,3.6
7.01,2.0
7.86,3.6
4.93,1.6
6.26,1.6
7.53,2.4
6.72,2.0
8.10,3.6
4.94,0.8
7.02,2.4
6.41,2.0
7.58,3.2
8.70,3.6
7.16,3.2
8.73,3.2
7.29,2.0
6.86,2.0
7.16,2.0
8.18,3.6
7.10,2.4
7.83,2.8
5.42,2.4
8.19,3.2
8.53,2.8
9.78,4.0
7.39,2.8
6.58,2.0
7.70,2.0
6.50,2.0
6.95,2.4
9.43,3.6
5.53,2.0
6.34,2.8
9.77,4.0
8.82,3.6
9.36,4.0
6.12,2.0
6.92,2.4
7.58,2.8
6.61,2.0
7.53,2.4
9.59,4.0
8.81,3.6
7.73,3.6
7.42,3.6
8.47,2.8
9.30,4.0
8.49,3.6
6.23,2.0
7.84,2.8
8.81,3.2
8.80,3.6
5.34,2.0
7.02,2.0
7.16,2.0
8.99,3.2
9.12,3.6
7.97,2.4
7.63,2.8
8.08,3.6
9.89,4.0
6.41,2.0
6.93,2.4
6.11,1.2
7.01,2.0
8.80,3.2
7.06,2.4
5.75,2.0
6.13,2.0
7.06,3.2
8.30,3.6
7.21,2.0
4.32,0.8
6.57,2.8
6.30,2.0
7.45,2.4
8.57,3.2
9.62,4.0
9.03,3.6
8.95,3.6
6.74,2.0
4.49,1.2
8.46,3.6
5.66,2.0
9.90,4.0
8.42,3.2
5.40,1.2
8.69,3.6
8.54,3.6
7.85,2.4
5.31,2.0
5.83,1.6
6.72,2.0
8.61,4.0
8.25,3.2
